12	12	53	54	54	57	54	12	12	11	57	11	57	54	56	12	12	11	11	57	12	8	9	57	5	54	54	8	57	9	12	54	53	54	54	54	12	56	57	12	9	54	57	54	11	57	9	12	8	9	12	56	11	57	8	9	57	9	56	9	11	57	12	57	12	56	57	11	12	56	9	9	56	57	57	12	12	8	12	54	9	9	56	54	56	54	57	12	57	12	9	57	57	11	12	57	53	11	11	8	56	57	56	57	12	11	12	8	12	54	57	12	9	11	12	9	54	57	11	9	54	9	12	12	9	8	11	12	11	9	54	12	56	56	9	12	54	54	12	8	9	8	54	9	54	56	8	57	11	8	12	57	12	54	12	57	12	12	12	8	9	11	11	53	57	9	8	57	54	11	11	8	57	11	9	56	12	57	9	53	8	9	8	11	9	9	57	54	56	12	12	57	9	11	11	9	9	8	11	11
21	24	18	20	22	14	20	60	64	30	21	73	19	15	18	17	20	74	18	21	18	19	17	60	19	19	20	23	18	28	19	27	16	21	19	19	19	16	21	71	64	17	18	24	17	21	19	64	16	71	64	18	63	21	18	63	21	73	20	23	63	23	18	23	17	25	20	18	22	59	16	27	21	21	15	28	65	70	66	25	19	29	62	15	19	67	21	25	17	69	62	69	20	33	16	60	18	24	18	21	62	21	20	19	20	15	18	22	19	15	17	24	21	64	21	25	64	21	65	24	15	76	17	23	16	30	16	29	20	21	20	60	62	19	19	27	20	64	20	69	63	23	20	61	21	20	20	23	63	66	21	21	20	23	17	18	18	25	65	24	17	32	64	15	20	72	18	22	20	74	17	26	17	67	20	14	19	20	19	20	17	61	60	75	64	25	18	31	61	66	18	27	19	74	18	32	64	21	17	67
21	28	22	30	26	32	24	33	26	75	22	72	20	71	71	33	75	43	74	29	67	35	32	35	31	30	23	75	23	35	21	28	18	23	25	31	21	30	75	39	20	23	23	31	26	34	27	39	23	38	29	28	27	36	24	29	28	31	75	81	21	32	29	36	33	29	25	78	25	27	32	32	74	32	68	39	28	32	73	31	26	37	25	71	27	30	24	36	30	35	22	33	28	44	23	34	25	68	76	38	21	30	27	26	26	31	34	79	21	35	32	41	26	30	27	39	31	34	28	27	28	79	73	45	25	44	26	80	25	32	27	27	21	77	71	38	24	29	65	27	25	75	78	25	68	29	72	86	21	79	23	27	27	71	73	25	72	52	73	29	33	91	22	31	26	77	21	36	31	31	66	33	33	27	70	23	23	31	20	25	73	25	23	73	23	27	23	31	27	34	29	46	46	43	26	39	67	31	26	32
80	53	27	35	35	31	75	36	48	33	23	33	28	36	30	88	36	41	37	36	76	40	33	40	77	45	37	80	41	45	32	47	33	32	28	80	32	42	32	80	36	30	34	46	30	82	40	39	36	83	36	40	23	40	24	40	75	44	45	79	35	40	42	43	39	32	34	41	69	43	38	30	38	36	30	47	77	44	34	39	77	52	34	36	80	48	70	50	35	42	33	33	33	44	35	36	27	40	44	81	25	80	43	80	41	32	101	38	32	44	28	42	32	33	35	43	29	82	33	37	30	36	67	57	36	58	80	46	34	34	31	36	27	40	70	90	75	38	32	40	56	80	36	36	25	35	26	41	77	50	33	34	97	43	75	27	75	88	37	73	46	63	33	92	28	34	85	48	87	92	25	75	38	39	34	41	30	48	31	34	31	42	33	29	35	34	25	40	22	44	77	63	35	42	81	49	38	42	32	46
43	50	53	41	26	82	39	43	37	42	74	50	24	36	50	39	33	55	84	51	38	52	39	58	39	41	37	49	40	97	38	66	94	57	56	36	38	51	47	46	78	45	87	51	44	52	38	37	82	49	48	46	36	46	88	54	34	82	43	34	35	79	92	86	56	40	79	95	30	35	40	46	39	39	34	54	37	43	33	34	86	53	39	36	41	40	41	100	86	102	39	49	45	56	35	37	79	50	54	51	40	46	94	50	86	57	49	90	38	40	41	50	79	52	85	49	37	52	76	102	29	41	38	104	32	107	40	87	42	92	44	34	26	31	39	51	40	44	81	104	48	49	32	44	40	36	25	46	45	35	84	54	42	40	46	35	45	39	41	44	38	100	45	40	29	43	55	86	38	51	48	37	47	34	39	38	32	40	44	47	32	32	34	40	39	43	38	51	40	47	45	100	38	56	40	96	40	46	41	97
44	112	50	44	46	50	50	43	40	46	55	47	37	46	47	96	40	55	35	100	40	99	35	59	93	52	43	49	52	90	74	69	59	47	47	43	74	67	50	38	50	34	47	84	40	51	84	53	84	43	62	41	79	96	39	42	44	45	39	39	47	46	108	45	70	43	43	46	38	53	48	92	40	85	50	93	39	48	52	84	40	40	39	47	46	35	62	57	34	54	33	63	43	85	92	66	41	56	50	40	32	44	39	45	58	55	56	49	74	101	51	52	49	42	49	43	31	51	69	92	40	49	62	58	57	82	92	55	62	67	57	40	36	52	26	50	48	46	60	56	47	49	44	53	57	45	33	54	39	57	84	54	47	42	48	84	45	39	44	41	50	55	40	36	28	39	62	40	41	52	43	91	50	70	48	47	80	47	33	56	44	49	82	64	83	107	44	56	40	42	52	57	98	113	50	62	33	47	42	52
104	107	76	91	35	50	58	42	95	94	54	52	105	61	57	34	94	102	57	55	62	56	82	65	68	90	47	61	64	78	37	111	52	37	56	58	38	55	56	45	53	36	58	58	45	58	43	92	42	41	54	34	47	49	44	92	39	43	46	40	34	53	54	48	99	51	38	56	87	68	59	56	65	48	54	103	47	93	56	67	41	83	40	49	57	54	54	112	42	47	47	46	56	38	86	61	61	103	93	58	40	54	43	39	106	86	49	56	51	63	52	53	54	47	47	86	35	59	59	40	32	59	59	109	45	67	43	61	57	62	57	38	46	46	29	90	49	44	57	59	99	78	49	97	56	91	47	61	35	66	42	49	103	47	56	41	49	53	52	37	45	49	41	60	75	56	57	49	56	62	45	42	56	91	41	56	88	48	90	76	84	110	40	46	67	57	47	94	41	49	41	56	75	63	59	69	53	59	43	64
48	67	81	54	34	48	71	78	42	34	48	51	60	45	49	30	54	42	51	62	45	105	37	53	69	32	88	72	51	58	54	50	48	89	102	54	60	91	66	48	34	95	40	53	100	96	48	35	41	46	93	41	48	38	61	44	44	39	31	31	90	47	57	26	54	35	45	47	31	60	86	66	44	41	54	58	68	64	52	63	61	41	29	33	52	50	51	82	42	47	45	46	97	65	40	51	52	45	42	96	44	44	43	36	66	86	60	43	57	59	49	115	109	48	59	36	34	74	52	42	89	56	65	44	48	107	56	59	96	119	99	115	45	42	58	40	44	48	52	48	49	64	49	51	66	51	49	45	46	57	39	93	57	37	44	33	61	95	42	46	61	58	99	41	55	48	54	42	43	46	34	35	116	66	40	37	42	42	78	67	49	64	55	41	49	57	44	46	41	78	34	66	71	49	86	47	38	91	49	74
47	88	109	41	92	54	76	24	44	32	48	37	60	29	49	34	43	46	45	42	63	56	84	52	48	61	49	59	100	71	41	35	45	47	58	38	62	48	43	30	48	52	23	40	86	91	40	41	48	51	47	28	48	36	55	36	43	29	34	31	51	35	57	36	56	34	38	57	33	39	92	67	35	45	34	58	58	53	51	47	51	27	22	41	56	35	51	33	41	46	37	54	47	58	32	44	52	33	41	46	42	37	44	33	60	45	95	39	40	37	56	59	46	42	55	36	28	44	52	40	50	46	61	35	133	43	24	47	106	53	50	59	46	29	59	40	55	48	39	48	60	43	38	41	47	32	79	46	49	58	50	72	62	28	45	33	64	48	35	85	89	55	43	42	33	23	84	44	59	37	41	39	59	57	80	36	29	60	26	37	35	32	34	31	46	33	40	44	36	30	96	62	59	42	44	39	36	86	100	58
46	61	63	31	42	54	37	33	35	24	43	30	59	35	48	55	51	42	34	32	41	60	42	40	43	44	36	35	43	35	32	36	39	55	54	34	51	30	54	35	45	40	22	42	41	74	30	50	24	38	51	30	48	34	58	29	42	49	31	30	41	31	56	46	55	36	32	41	33	32	50	52	32	45	35	58	46	33	50	38	51	35	22	35	34	35	56	28	41	49	39	40	41	110	40	41	48	40	36	33	37	39	44	36	55	40	36	32	32	38	92	49	45	43	52	48	28	31	41	32	49	52	56	35	99	43	28	43	56	50	37	40	46	51	53	45	52	48	34	33	60	53	42	39	28	31	52	36	40	47	35	58	57	27	44	30	50	42	29	50	78	39	34	42	29	31	51	37	45	47	36	41	61	44	35	31	36	87	25	53	39	33	23	23	34	44	54	44	34	35	36	35	55	41	61	39	27	30	49	46
